GEO	channel	chamber	sl	layer	cell
24	0	1	1	4	1
24	1	1	1	2	1
24	2	1	1	3	1
24	3	1	1	1	1
24	4	1	1	4	2
24	5	1	1	2	2
24	6	1	1	3	2
24	7	1	1	1	2
24	8	1	1	4	3
24	9	1	1	2	3
24	10	1	1	3	3
24	11	1	1	1	3
24	12	1	1	4	4
24	13	1	1	2	4
24	14	1	1	3	4
24	15	1	1	1	4
24	16	1	1	4	5
24	17	1	1	2	5
24	18	1	1	3	5
24	19	1	1	1	5
24	20	1	1	4	6
24	21	1	1	2	6
24	22	1	1	3	6
24	23	1	1	1	6
24	24	1	1	4	7
24	25	1	1	2	7
24	26	1	1	3	7
24	27	1	1	1	7
24	28	1	1	4	8
24	29	1	1	2	8
24	30	1	1	3	8
24	31	1	1	1	8
24	32	1	1	4	9
24	33	1	1	2	9
24	34	1	1	3	9
24	35	1	1	1	9
24	36	1	1	4	10
24	37	1	1	2	10
24	38	1	1	3	10
24	39	1	1	1	10
24	40	1	1	4	11
24	41	1	1	2	11
24	42	1	1	3	11
24	43	1	1	1	11
24	44	1	1	4	12
24	45	1	1	2	12
24	46	1	1	3	12
24	47	1	1	1	12
24	48	1	1	4	13
24	49	1	1	2	13
24	50	1	1	3	13
24	51	1	1	1	13
24	52	1	1	4	14
24	53	1	1	2	14
24	54	1	1	3	14
24	55	1	1	1	14
24	56	1	1	4	15
24	57	1	1	2	15
24	58	1	1	3	15
24	59	1	1	1	15
24	60	1	1	4	16
24	61	1	1	2	16
24	62	1	1	3	16
24	63	1	1	1	16
24	64	1	2	4	1
24	65	1	2	2	1
24	66	1	2	3	1
24	67	1	2	1	1
24	68	1	2	4	2
24	69	1	2	2	2
24	70	1	2	3	2
24	71	1	2	1	2
24	72	1	2	4	3
24	73	1	2	2	3
24	74	1	2	3	3
24	75	1	2	1	3
24	76	1	2	4	4
24	77	1	2	2	4
24	78	1	2	3	4
24	79	1	2	1	4
24	80	1	2	4	5
24	81	1	2	2	5
24	82	1	2	3	5
24	83	1	2	1	5
24	84	1	2	4	6
24	85	1	2	2	6
24	86	1	2	3	6
24	87	1	2	1	6
24	88	1	2	4	7
24	89	1	2	2	7
24	90	1	2	3	7
24	91	1	2	1	7
24	92	1	2	4	8
24	93	1	2	2	8
24	94	1	2	3	8
24	95	1	2	1	8
24	96	1	2	4	9
24	97	1	2	2	9
24	98	1	2	3	9
24	99	1	2	1	9
24	100	1	2	4	10
24	101	1	2	2	10
24	102	1	2	3	10
24	103	1	2	1	10
24	104	1	2	4	11
24	105	1	2	2	11
24	106	1	2	3	11
24	107	1	2	1	11
24	108	1	2	4	12
24	109	1	2	2	12
24	110	1	2	3	12
24	111	1	2	1	12
24	112	1	2	4	13
24	113	1	2	2	13
